,drama name,aired,ratings,no of ratings,synopsis,screenwriter,director,genre,country,episodes,type,original network,duration,ranking,popularity,content rating
82,Oh My Ghost ,"Jul  3, 2015 - Aug 22, 2015",8.2,59646,"Bong Sun, a shy and insecure young woman, is possessed by the ghost of a lustful virgin. She struggles with low self-esteem and feels out of place at her job as a restaurant assistant. Though able to see ghosts due to her grandmother's shamanic background, she’s only fully possessed by the ghost later. Sun Woo, a confident star chef, doesn’t notice Bong Sun due to his obsession with an ex and his surrounded-by-women lifestyle. However, as Bong Sun's personality changes under the ghost’s influence, she catches his attention.

(Source: MyDramaList)  English Русский Ελληνικά Čeština",Yang Hee Seung,Yoo Je Won,"Thriller, Comedy, Romance, Supernatural",South Korea,16,Drama,tvN,60 min.,#1348,#85,13+ - Teens 13 or older
83,Angel's Last Mission: Love ,"May 22, 2019 - Jul 11, 2019",8.4,52900,"Lee Yeon Seo, is a cynical and arrogant ballerina. She is the prima ballerina, but after an accident she has to give up her dream. After her parents' sudden death, she doesn’t trust anyone since there are a lot of people lurking around her and her inherited money.  Because of her distrust and arrogance, she is unable to love anyone. 

Kim Dan is an optimistic, carefree angel who is always getting into trouble. In order to return to heaven, he is tasked with a mission to find true love for the talented but emotionally distant ballerina.  English ภาษาไทย Arabic Русский",Choi Yoon Kyo,Lee Jung Sub,"Comedy, Romance, Drama, Fantasy",South Korea,32,Drama,KBS2,35 min.,#855,#86,15+ - Teens 15 or older
84,Moving ,"Aug  9, 2023 - Sep 20, 2023",9,52805,"Kim Bong Seok, Jang Hui Su, and Lee Gang Hun, seemingly typical high school students, bear extraordinary inherited powers. Bong Seok can fly, Hui Su possesses exceptional athleticism and rapid injury recovery, and Gang Hun wields uncanny strength and speed. As they conceal their gifts, their parents fight to shield them from exploitation by others, navigating a delicate balance between secrecy and protection.

(Source: MyDramaList)

~~ Adapted from the webtoon “Moving” (무빙) by Kang Full (강풀).  English 한국어 ภาษาไทย Українська",Kang Full,Park In Je,"Action, Thriller, Mystery, Supernatural",South Korea,20,Drama,Disney+,47 min.,#56,#87,18+ Restricted (violence & profanity)
85,He Is Psychometric ,"Mar 11, 2019 - Apr 30, 2019",8.3,46582,"After losing his parents in a fire, Lee Ahn gains the ability of psychometry, which allows him to read a person or object's past through physical contact. Struggling to control his power, he meets Yoon Jae In, who hides painful secrets. Together with prosecutor Kang Seong Mo, his foster guardian, and investigator Eun Ji Soo, they investigate a case linked to Kang's parents, who were responsible for the fire. As they uncover the truth, Lee Ahn and Jae In heal each other and find the culprit.

(Source: MyDramaList)  English ภาษาไทย Arabic Русский",Yang Jin Ah,Kim Byung Soo,"Thriller, Mystery, Romance, Supernatural",South Korea,16,Drama,tvN,1 hr. 4 min.,#1217,#88,15+ - Teens 15 or older
86,The Bride of Habaek ,"Jul  3, 2017 - Aug 22, 2017",7.4,52375,"What would you do if you had to continue a strange family legacy?

Yoon So Ah is a pragmatic neuropsychiatrist who carries a tremendous financial burden to run her own practice. Her family has been tasked with serving Ha Baek, a reincarnated water god, for many generations, and So Ah is forced to do the same. Ha Baek starts to develop feelings for So Ah, but he has competition for her heart from Hoo Ye, the CEO of a resort company, who clashes with So Ah over a piece of land but then falls in love with her.

 Moo Ra is a goddess from the Water Kingdom who has been living on Earth for hundreds of years. Working as an actress, Moo Ra loves Ha Baek and doesn’t appreciate So Ah stealing him away from her. Meanwhile, Bi Ryum is a wind god who has always had a one-sided crush on Moo Ra despite knowing her feelings for Ha Baek.
Can a relationship between a mortal female and a god have a future?

(Source: Viki)

~~ Adapted from the manhwa ""Bride of the Water God"" (하백의 신부) by Yoon Mi Kyung (윤미경).  English Arabic Русский magyar / magyar nyelv",Jung Yoon Jung,Kim Byung Soo,"Comedy, Romance, Drama, Fantasy",South Korea,16,Drama,tvN,1 hr. 10 min.,#7667,#89,15+ - Teens 15 or older
87,Meteor Garden ,"Jul  9, 2018 - Aug 29, 2018",7.9,55925,"Shan Cai, an 18-year-old girl from a struggling family, is accepted into the country's most prestigious school, where she meets F4, an exclusive group of the wealthiest and most handsome boys—Dao Ming Si, Hua Ze Lei, Xi Men, and Mei Zuo. Despite Dao Ming Si's bullying, Shan Cai remains defiant and resilient. With Hua Ze Lei’s support, she endures the boys’ pranks and starts to gain their respect. As she uncovers their true sides, her determination and the boys’ evolving feelings lead to friendship and eventual romance.

(Source: MyDramaList)

 ~~ Adapted from the manga “Hana Yori Dango” (花より男子) by Kamio Yoko (神尾葉子). 
~~ Two versions available: 50 episodes (TV) || 49 episodes (Online; DVD)  English 中文(简体) Arabic Русский",N/A,Lin He Long,"Comedy, Romance, Youth, Drama",China,50,Drama,Hunan TV,45 min.,#3138,#90,13+ - Teens 13 or older
88,My Secret Romance ,"Apr 17, 2017 - May 30, 2017",7.6,60975,"Cha Jin Wook is a son from a wealthy family who runs a large company. He usually only pursues short-term love, but when he meets Lee Yoo Mi, who has never had a boyfriend before, he changes. In a dating world full of busy people who tend to flirt and chase “some” relationships rather than having meaningful connections that allow them to show their true feelings, this couple has a one-night stand. They meet again three years later, whereupon they kick off a shaky push-pull romance that’ll keep them on their toes as they fall in love.

(Source: Amazon.com.au)

~~ Two versions available: 13 episodes (TV) || 14 episodes (DVD ; online)  English 한국어 Arabic Русский",N/A,Kang Cheol Woo,"Comedy, Romance, Life, Drama",South Korea,13,Drama,OCN,60 min.,#5308,#91,15+ - Teens 15 or older
89,Alchemy of Souls Season 2: Light and Shadow ,"Dec 10, 2022 - Jan  8, 2023",8.9,70785,"Jang Uk returns from death, and three years later, the story of the mages unfolds anew. Jang Uk becomes a hunter of the soul-shifters when a young woman, a prisoner in her own home, seeks his help to reclaim her freedom.

(Source: Netflix)  English 한국어 中文(简体) 中文(台灣)","Hong Jeong Eun, Hong Mi Ran","Park Joon Hwa, Bae Hyun Jin","Action, Historical, Romance, Fantasy",South Korea,10,Drama,tvN,1 hr. 21 min.,#98,#92,15+ - Teens 15 or older
90,Love O2O ,"Aug 22, 2016 - Sep  6, 2016",8.2,58134,"Xiao Nai is a gaming expert who, courtesy of his basketball skills, academic excellence, swimming talent, and game company presidency, also happens to be the most popular student on campus. When he first comes across the gorgeous computer science major Bei Wei Wei, the infinitely talented wunderkind immediately falls in love.

But it’s not Wei Wei’s looks that he notices; it’s the ridiculous mastery with which she is commanding her guild and owning everyone in an online multiplayer game that makes her impossible to forget. Now, Xiao Nai must use his skills both in real life and online to capture the adorable but dorky Wei Wei’s heart. But does their love have the XP to succeed, or will this relationship never level up?

(Source: MyDramaList)

~~ Adapted from the web novel ""A Slight Smile Is Very Charming"" (微微一笑很倾城) by Gu Man (顾漫).  English 中文(简体) ภาษาไทย Arabic","Gu Man, Scarlett OuYang, Shen Fei Xian","Lam Yuk Fan, Guo Hu","Business, Comedy, Romance, Drama",China,30,Drama,Dragon TV JSTV Youku,45 min.,#1425,#93,13+ - Teens 13 or older
91,Rain or Shine ,"Dec 11, 2017 - Jan 30, 2018",8.5,44873,"A tragic accident kills 48 people, leaving the survivors and those connected to the event forever changed. Lee Gang Du, once a hopeful soccer player, now struggles with physical and emotional pain while caring for his sister and paying off a debt. Ha Mun Su, a survivor of the accident, is haunted by nightmares. She lives above her mother’s bathhouse and creates architectural models for safety in major building projects. Years later, a construction project at the accident site stirs painful memories for all involved. As they cross paths, they help each other heal and find new hope for the future.

(Source: MyDramaList)  English 한국어 ภาษาไทย Arabic",Yoo Bo Ra,Kim Jin Won,"Psychological, Romance, Melodrama",South Korea,16,Drama,jTBC,1 hr. 13 min.,#636,#94,15+ - Teens 15 or older
92,18 Again ,"Sep 21, 2020 - Nov 10, 2020",8.6,49253,"Jung Da Jeong and Hong Dae Yeong have been married for almost two decades, raising their twins together. Despite appearances, their life is far from ideal, filled with Dae Yeong's incessant nonsense. When he gets fired, and Da Jeong can't take it anymore, she files for divorce. This drastic step forces Dae Yeong to reflect on his life and all his regrets. Suddenly, he transforms into an eighteen-year-old with the same middle-aged mind. Renaming himself Ko U Yeong, he enrolls in his children's school, gaining a new perspective on life.

(Source: MyDramaList)

~~ Remake of the American film “17 Again"" [2009].  English 한국어 中文(简体) ภาษาไทย","Kim Do Yeon, Ahn Eun Bin, Choi Yi Ryun",Ha Byung Hoon,"Romance, Life, Drama, Fantasy",South Korea,16,Drama,jTBC,1 hr. 10 min.,#452,#95,15+ - Teens 15 or older
93,Sh**ting Stars ,"Apr 22, 2022 - Jun 11, 2022",8.3,55799,"As one of the nation’s most beloved stars, Kong Tae Seong is used to living his life in the spotlight. With the eyes of the world constantly on him, Tae Seong does his best to keep a smile on his face and his temper in check. Seen by the people as a kind and polite young man, the only people who don’t buy into his whole good guy persona are those working for his management company.

As the head of that company’s PR team, O Han Byeol knows exactly what Tae Seong is really like. Well aware of his strong desire to win and his hot temper, Han Byeol has had to employ her excellent speech and crisis management skills on a number of occasions in order to keep Tae Seong’s reputation as spotless as it seems. Constantly bickering, there isn’t anyone in the world better suited to the role of natural enemies than Han Byeol and Tae Seong. 

Forever at odds with each other, Tae Seong and Han Byeol seem destined to hate each other forever. But could the time they’re forced to spend together change those feelings, or will their mutual loathing last for all eternity?

(Source: Viki)  English ภาษาไทย Arabic Русский","Choi Yeong U, Choi Yeon Seo",Lee Soo Hyun,"Comedy, Romance, Drama",South Korea,16,Drama,tvN,60 min.,#1136,#96,15+ - Teens 15 or older
94,Taxi Driver ,"Apr  9, 2021 - May 29, 2021",8.8,50957,"Do Gi, a former Special Forces officer, is consumed by grief after his mother is murdered by a serial killer. He joins Rainbow Taxi, a secret organization that delivers revenge to victims the law couldn't protect. As he becomes a star driver, he faces prosecutor Ha Na, who investigates Rainbow Taxi's lawless methods while questioning their ability to bring justice. Torn between revenge and the pursuit of justice, Do Gi seeks to understand what true justice really means.

(Source: MyDramaList)

~~ Adapted from the webtoon ""The Deluxe Taxi"" (모범택시) by Carlos (까를로스) and Keukeu Jae Jin (크크재진).  English 日本語 ภาษาไทย Arabic","Oh Sang Ho, Lee Ji Hyun",Park Joon Woo,"Action, Thriller, Crime, Drama",South Korea,16,Drama,SBS,1 hr. 5 min.,#154,#97,18+ Restricted (violence & profanity)
95,I Hear Your Voice ,"Jun  5, 2013 - Aug  1, 2013",8.4,51362,"Jang Hye Sung, a bold and materialistic public defender, becomes a lawyer after a difficult childhood. She encounters Park Soo Ha, a 19-year-old who can read minds and considers her his first love for helping convict his father's killer. Joining them is Cha Kwan Woo, a cheerful and principled ex-cop turned lawyer. Together, they tackle tough cases and seek justice against the odds.

(Source: MyDramaList)  English Arabic Українська Русский",Park Hye Ryun,Jo Soo Won,"Mystery, Law, Romance, Supernatural",South Korea,18,Drama,SBS,1 hr. 4 min.,#707,#98,15+ - Teens 15 or older
96,When the Phone Rings ,"Nov 22, 2024 - Jan  4, 2025",8,65183,"Baek Sa Eon, the youngest presidential spokesman in Korea, comes from a prestigious political family. His background includes roles as a war correspondent, hostage negotiator, and news anchor. Three years ago, he married Hong Hui Ju, a mute sign language interpreter and the step-daughter of a newspaper proprietor. Their marriage, based on convenience, has been distant and cold. However, when Hui Ju is kidnapped, their lives and relationship are changed.

(Source: MyDramaList; edited by KayesDramas and others at MyDramaList)

~~ Adapted from the web novel “The Number You Have Dialed"" (지금 거신 전화는) by Geon Eomul Nyeo (건어물녀).  English 한국어 中文(简体) Arabic",Kim Ji Woon,"Park Sang Woo, Wi Deuk Gyu","Thriller, Mystery, Romance, Drama",South Korea,12,Drama,MBC,1 hr. 8 min.,#2543,#99,15+ - Teens 15 or older
97,The Beauty Inside ,"Oct  1, 2018 - Nov 20, 2018",8.3,47055,"Han Se Gye is a top actress, also known as a troublemaker, with many rumors around her. To others, her life appears as a mystery, when in fact she is faced with a strange occurrence where she must change into a different body and new identity for one week a month. She encounters Seo Do Jae, a brilliant man who is an executive at an airline company. He seems to have it all: a perfect appearance, knowledge, and a good job; but he has a secret too. He suffers from Prosopagnosia, the inability to recognize faces. However, he manages to hide this from the world, every day he makes an effort to remember people by their personalities. 

Seo Do Jae's life begins to change when he meets Han Se Gye. She is the only person whose face he can recognize. But with Han Se Gye's constant disappearance and change, how long can she keep her secret?

(Source: AJ at MyDramaList)  English 한국어 Arabic Русский",Im Me A Ri,Song Hyun Wook,"Comedy, Romance, Melodrama, Supernatural",South Korea,16,Drama,jTBC,1 hr. 10 min.,#1278,#100,15+ - Teens 15 or older
98,Playful Kiss ,"Sep  1, 2010 - Oct 21, 2010",7.3,58070,"Oh Ha Ni is a clumsy high school student who falls for perfectionist Baek Seung Jo. However, Seung Jo is indifferent towards her and rejects her love. When Ha Ni's house collapses, she and her father move into his long-time friend's house. As fate would have it, Seung Jo turns out to be the best friend's eldest son, and Ha Ni is given the opportunity to be near the boy she loves. Will she be able to move Seung Jo's heart?

(Source: TVDB)

~~ Adapted from the manga series ""Itazura na Kiss"" (イタズラなKiss) by Tada Kaoru (多田かおる).  English 中文(简体) Arabic Українська",Ko Eun Nim,"Hwang In Roe, Kim Jung Hyun, Kim Do Hyung","Comedy, Romance, Drama",South Korea,16,Drama,MBC,1 hr. 5 min.,#8693,#101,15+ - Teens 15 or older
99,Who Are You: School 2015 ,"Apr 27, 2015 - Jun 16, 2015",8.2,54598,"Sekang High School is the most prestigious private high school in Seoul's Gangnam District, and Go Eun Byul is the most popular girl there. Meanwhile, her identical twin Lee Eun Bi is living in an orphanage and is being bullied at school. Then one day, Eun Byul mysteriously disappears. Soon after, Eun Bi loses her memories and is mistaken as being Eun Byul. Eun Bi then starts living her life as Eun Byul.

(Source: Wikipedia)  English magyar / magyar nyelv dansk Norsk","Kim Hyun Jung, Im Ye Jin, Kim Min Jeong","Baek Sang Hoon, Kim Seong Yoon","Mystery, Romance, Youth, Drama",South Korea,16,Drama,KBS2,60 min.,#1629,#102,15+ - Teens 15 or older
100,Extracurricular ,"Apr 29, 2020",8.3,53065,"Four high school students become entangled in crime to make money, facing escalating and unpredictable consequences. Ji Su turns from model student to criminal, dragging school bully Min Hui, cunning partner Gyu Ri, and popular student Gi Tae into a dangerous spiral.

(Source: MyDramaList)  English 中文(台灣) Arabic Русский",Jin Han Sae,Kim Jin Min,"Psychological, Crime, Youth, Drama",South Korea,10,Drama,Netflix,55 min.,#1270,#103,18+ Restricted (violence & profanity)
101,Love in the Moonlight ,"Aug 22, 2016 - Oct 18, 2016",8.2,46584,"To protect herself and her family, Hong Ra On disguises herself as a man and counsels men on dating. Due to a love letter she wrote for a client, she meets Crown Prince Hyo Myung. Ra On is unaware that he is the Crown Prince, and Hyo Myung is unaware that Ra On is a woman. Soon after Ra On is forced to become a eunuch by loan sharks, and the Crown Prince and Ra On become interested in each other. As Ra On tries to survive the palace and the Crown Prince navigates his journey to become king, will their love prosper?

(Source: MyDramaList)  English 한국어 中文(简体) 日本語","Im Ye Jin, Kim Min Jeong","Baek Sang Hoon, Kim Seong Yoon","Historical, Comedy, Romance, Drama",South Korea,18,Drama,KBS2,59 min.,#1444,#104,15+ - Teens 15 or older
102,My Mister ,"Mar 21, 2018 - May 17, 2018",8.9,36446,"Park Dong Hun is a middle-aged engineer who is married to attorney Kang Yun Hui. However, his life is not that happy as he has two unemployed brothers, Sang Hun and Gi Hun, who rely on him. Moreover, his wife is secretly having an affair with CEO Do Jun Yeong, his current boss and college junior.

Receiving an unexpected bribe one day, Dong Hun notices that his co-worker Lee Ji An witnessed the incident. Ji An is a young part-time worker at Dong Hun's company who is drowning in debt and left alone to take care of her ill grandmother. Dong Hun then gets entangled in his brothers' struggle to get back on their feet and the company's internal rivalry between the company's CEO and the people opposing him. All the while unaware that CEO Jun Yeong wants to get rid of him and that Ji An is working for him.

(Source: MyDramaList)  English 한국어 中文(简体) Arabic",Park Hae Young,"Kim Won Suk, Kim Sang Woo","Psychological, Life, Drama",South Korea,16,Drama,tvN,1 hr. 17 min.,#75,#105,15+ - Teens 15 or older
103,Strangers from Hell ,"Aug 31, 2019 - Oct  6, 2019",8.6,45203,"Yun Jong U is a young guy in his 20s who moves from the countryside to Seoul after his college friend, Jae Ho, offers him a job. While looking for a place to live, he stumbles upon Eden Gosiwon, a cheap hostel that shares the kitchen and bathroom with other residents. He is not thrilled about the quality of the place or the other abnormal residents, such as his next-door neighbor Seo Mun Jo, a charismatic dentist. 

Nevertheless, Jong U decides to put up with it for 6 months until he saves enough money to move out. However, mysterious events start occurring in the apartment, causing Jong U to begin fearing the apartment's residents.

(Source: MyDramaList)

~~ Adapted from the webtoon ""Strangers from Hell (타인은 지옥이다) by Kim Yong Ki (김용기).  English 한국어 Українська Русский",Jung Yi Do,Lee Chang Hee,"Thriller, Horror, Psychological, Drama",South Korea,10,Drama,OCN,60 min.,#342,#106,15+ - Teens 15 or older
104,"It's Okay, That's Love ","Jul 23, 2014 - Sep 11, 2014",8.6,48077,"Despite being a bit of a prickly pear, Jang Jae Yeol has become famous for authoring mystery novels and for hosting a popular radio show. While sitting on a talk show panel with psychiatrist Ji Hae Soo, it became clear to all that the two just rubbed each other the wrong way. 

The unthinkable happens when Jae Yeol’s girlfriend plagiarizes his work, forcing him to lie low until the media storm blows over. Only then he can prove his innocence. Jae Yeol moves into a house he owns but rents out. One of the current tenants, is none other than Hae Soo, unwittingly making them housemates.

Add to the mix Jo Dong Min, Hae Soo’s senior colleague and fellow psychiatrist, and Park Soo Kwang, a young man with Tourette’s Syndrome. As personalities clash, Jae Yeol and Hae Soo help the other heal from their deeply-rooted emotional scars.

(Source: MyDramalist)  English 한국어 Arabic Русский",Noh Hee Kyung,Kim Kyu Tae,"Comedy, Romance, Drama, Melodrama",South Korea,16,Drama,SBS,60 min.,#455,#107,15+ - Teens 15 or older
105,You're Beautiful ,"Oct  7, 2009 - Nov 26, 2009",8,60209,"The management company of the idol group A.N.JELL insisted on adding a new singer to the group as the lead vocal, Tae Kyung's voice was hurting. However,the new member, Mi Nam, had to go to the States to repair a botched eye job just before signing the contract. His agent came up with the idea of having his twin sister, Mi Nyu,to stand in for him and pretend that she was her brother. The two of them grew up in an orphanage and Mi Nyu, who was all set to become a nun, agreed to this charade as she didn't want to spoil her brother's chance of fame which would make it easier to look for their mother.  English 한국어 Arabic Русский","Hong Jeong Eun, Hong Mi Ran","Hong Sung Chang, Boo Sung Chul","Music, Comedy, Romance, Drama",South Korea,16,Drama,SBS,1 hr. 5 min.,#2497,#108,15+ - Teens 15 or older
106,Prison Playbook ,"Nov 22, 2017 - Jan 18, 2018",8.9,37308,"Kim Je Hyuk, a famous baseball player, is arrested after using excessive force while chasing a man trying to sexually assault his sister. Shockingly to him and the rest of the nation, he is sentenced to a year in prison. There, he meets his childhood friend and fellow baseball player, Lee Joon Ho, who gave up on baseball after a car accident, but is now a prison guard and one of Je Hyuk's biggest fans. The drama revolves around Je Hyuk's time in prison, as well as the prisoners he meets and the events that take place there.

(Source: MyDramaList)  English 한국어 中文(简体) 中文(台灣)",Jung Bo Hoon,Shin Won Ho,"Comedy, Crime, Life, Drama",South Korea,16,Drama,tvN,1 hr. 32 min.,#90,#109,15+ - Teens 15 or older
107,Signal ,"Jan 22, 2016 - Mar 12, 2016",8.8,42072,"Fifteen years ago, a young girl was kidnapped on the way from school, and Park Hae Yeong, who was an elementary school student at that time, witnessed the crime. A few days later, the girl was found dead, and the police were not able to find the culprit. As time went by, Hae Yeong started distrusting the police. 

Fifteen years later, Hae Yeong is now a police officer and criminal profiler. One day, he finds a walkie-talkie that allows him to get in contact with Detective Lee Jae Han who is in the past. Police officers Hae Yeong, Jae Han, and Cha Soo Hyun then set out on a journey to solve cold cases.

(Source: MyDramaList)  English 한국어 中文(台灣) ภาษาไทย",Kim Eun Hee,Kim Won Suk,"Thriller, Mystery, Sci-Fi",South Korea,16,Drama,tvN,1 hr. 15 min.,#130,#110,15+ - Teens 15 or older
108,"Bring It On, Ghost ","Jul 11, 2016 - Aug 30, 2016",8.1,49062,"It is a story about the ghost of a high school girl who has been dead for 5 years and an exorcist college boy with the ability to see and hear ghosts. What he’s discovered over the years is that he can touch them and fight them off, so when he’s in need of a part-time job and can’t find one that pays well enough, he starts putting ads online as an exorcist for hire. His ad: “Will face off with your ghosts. Chances of winning: virgin ghosts 80%, bachelor ghosts 40%, child ghosts 97%, the rest 50%.” One night he goes out on the job and faces off with a schoolgirl ghost, and during the fight, they accidentally kiss and sparks fly.

(Source: MyDramaList)

~~ Adapted from the webtoon “Let's Fight, Ghost” (싸우자귀신아) by Iminsu (임인스).  English 中文(简体) Русский Čeština",Lee Dae II,Park Joon Hwa,"Horror, Comedy, Romance, Supernatural",South Korea,16,Drama,tvN,60 min.,#1906,#111,15+ - Teens 15 or older
109,Falling into Your Smile ,"Jun 23, 2021 - Jul 15, 2021",8.6,58076,"In the ultra-competitive world of e-sports, the all-male ZGDX OPL team is second to none. Armies of adoring female fans follow the team wherever it goes. But when one of the team’s star players suffers a hand injury, the tall, handsome, and notoriously hard-to-please ZGDX captain Lu Si Cheng will not be rushed into choosing a replacement.

The petite, lollipop-loving Tong Yao, meanwhile, is a budding amateur gamer – obsessed with OPL. Her skills are exceptional, but she is of the firm belief that in the male-dominated world of pro gaming, love is a big no-no – even though her own ex-boyfriend was a gamer. When the ZGDX team manager learns of her skills, he contacts her, thinking that recruiting her as the scene’s first female player will help score a major PR coup. Lu Si Cheng is dismissive of her initially, but eventually agrees to accept her as a substitute – a move that polarizes the team’s fanbase. But as they start to get to know one another better, could a closer bond begin to form between them?

(Source: Viki)

~~ Adapted from the web novel ""You're Beautiful When You Smile"" (你微笑时很美) by Qing Mei (青浼).  English 中文(简体) Arabic Русский",Jia Chang,Qiu Zhong Wei,"Comedy, Romance, Youth, Sports",China,31,Drama,LINE TV Tencent Video Youku,45 min.,#417,#112,15+ - Teens 15 or older
110,Death's Game ,"Dec 15, 2023",8.8,51143,"After struggling for seven years without securing a stable job, Choi I Jae becomes engulfed in despair and hopelessness. Believing that ending his life would be the solution, I Jae is met with a surprise when he meets the entity known as Death at the gateway to Hell. Death assigns him a unique punishment: I Jae must endure death in 12 different bodies. To avoid his fate in Hell, he must find a way to survive. 

(Source: AsianWiki; edited by Raisa at MyDramaList) 

~~ Adapted from the webtoon ""Ije God Jukseubnida"" (이제 곧 죽습니다) written by Lee Won Sik (이원식) and illustrated by Gul-chan  (꿀찬)  English 한국어 中文(简体) ภาษาไทย",Ha Byung Hoon,Ha Byung Hoon,"Thriller, Drama, Fantasy",South Korea,4,Drama,TVING,55 min.,#160,#113,18+ Restricted (violence & profanity)
111,Mouse ,"Mar  3, 2021 - May 19, 2021",8.9,40526,"A suspenseful story that asks the key question, “What if we could identify psychopaths in advance?” A crazed serial killer’s ruthless murders have left the entire nation gripped with fear, and chaos reigns. Justice-seeking rookie police officer, Jung Ba Reum, comes face to face with the killer. While he survives his dangerous encounter with the psychopath, Jung Ba Reum finds his life completely changing before his eyes.

(Source: MyDramaList)  English 한국어 中文(简体) Arabic",Choi Ran,"Choi Joon Bae, Kang Cheol Woo","Thriller, Mystery, Psychological",South Korea,20,Drama,tvN,1 hr. 15 min.,#121,#114,18+ Restricted (violence & profanity)
112,Uncontrollably Fond ,"Jul  6, 2016 - Sep  8, 2016",8.1,43310,"People change, but can the heart adapt? Sin Jun Yeong and No Eul were in love in their younger days. But uncontrollable circumstances separated them, and they went their separate ways. Jun Yeong is now a superstar actor and singer, while No Eul has become a producer-director of documentaries. 

When their paths cross again years later, Jun Yeong discovers that No Eul is now a very different person than he remembered — materialistic and willing to do anything to get ahead. Is there any hope for Jun Yeong and No Eul to rekindle their past relationship?

(Source: Viki)  English Arabic עברית / עִבְרִית Русский",Lee Kyung Hee,"Park Hyun Suk, Cha Young Hoon","Comedy, Romance, Drama, Melodrama",South Korea,20,Drama,KBS2,60 min.,#1923,#115,15+ - Teens 15 or older
113,Mr. Sunshine ,"Jul  7, 2018 - Sep 30, 2018",8.8,35239,"Mr. Sunshine centers on a young boy born into a house servant's family who travels to the United States during the 1871 Shinmiyangyo (U.S. expedition to Korea). He returns to his homeland later as a U.S. marine officer. He meets and falls in love with an aristocrat’s daughter. At the same time, he discovers a plot by foreign forces to colonize Korea.  English 한국어 中文(简体) 中文(台灣)",Kim Eun Sook,"Lee Eung Bok, Jang Young Woo","Military, Historical, Romance, Melodrama",South Korea,24,Drama,tvN,1 hr. 20 min.,#169,#116,15+ - Teens 15 or older
114,Squid Game Season 2 ,"Dec 26, 2024",8.1,67045,"Seong Gi Hun, a.k.a Player 456, has reentered the Squid Game after winning at the conclusion of the previous game. Now armed with the knowledge of what the game is really about, he seeks to save the lives of other players and end the game once and for all. But those good intentions may fall flat in the face of millions of won. 

(Source: Variety; TheWrap.com)  English 中文(简体) ภาษาไทย עברית / עִבְרִית",Hwang Dong Hyuk,Hwang Dong Hyuk,"Action, Thriller, Mystery, Drama",South Korea,7,Drama,Netflix,1 hr. 1 min.,#2033,#117,18+ Restricted (violence & profanity)
115,Something in the Rain ,"Mar 30, 2018 - May 19, 2018",8,43352,"Yun Jin A, a woman in her mid-30s, has never experienced a successful relationship. After being dumped countless times for her clumsy and reckless behavior, she is heartbroken when a man breaks up with her, calling her as unappealing as bland devil's-tongue jelly.

Then, Seo Jun Hui, her childhood friend's younger brother, reappears. Now an attractive and confident man, he surprises Jin A, and she begins to feel that this time, she may finally find love.

(Source: MyDramaList)  English ภาษาไทย Arabic Русский",Kim Eun,Ahn Pan Seok,"Business, Romance, Life, Melodrama",South Korea,16,Drama,jTBC,1 hr. 15 min.,#2644,#118,15+ - Teens 15 or older
116,City Hunter ,"May 25, 2011 - Jul 28, 2011",8.3,48339,"Lee Yoon Sung is a talented MIT-graduate who works on the international communications team in the Blue House. He plans revenge on five politicians who caused his father's death with his surrogate father Lee Jin Pyo and eventually becomes a ""City Hunter"". 

(Source: MyDramaList)

~~ Adapted from the manga series ""City Hunter"" (シティーハンター) by Hojo Tsukasa (北条司).  English Русский Español Türkçe","Choi Su Jin, Hwang Eun Kyung",Jin Hyeok,"Action, Thriller, Crime",South Korea,20,Drama,SBS,1 hr. 10 min.,#1156,#119,15+ - Teens 15 or older
117,When I Fly Towards You ,"Jun 13, 2023 - Jun 29, 2023",9,51878,"In the autumn of 2012, Su Zai Zai transfers to Yucai High School and immediately falls for the aloof Zhang Lu Rang. Despite his impressive academic success and privileged background, Zhang Lu Rang struggles with self-doubt, overshadowed by his genius younger brother. His life is introverted and controlled by constant comparisons.

Things change when he meets the cheerful Su Zai Zai, who, along with their friends Gu Ran, Guan Fang, and Jiang Jia, helps him find his true self. As they support each other's goals, Zhang Lu Rang and Su Zai Zai's relationship deepens, with romance blossoming among their group.

(Source: MyDramaList)

~~ Adapted from the novel ""She’s a Little Crazy"" (她病得不轻) by Zhu Yi (竹已).  English 한국어 ภาษาไทย Arabic","Yue An, Tao Kai Xin",Mao De Shu,"Comedy, Romance, Youth",China,24,Drama,Youku,35 min.,#58,#120,13+ - Teens 13 or older
118,The Master's Sun ,"Aug  7, 2013 - Oct  3, 2013",8.5,52726,"Joo Joong Won is the stingy and greedy CEO of Kingdom, a conglomerate that includes a major department store and hotel. He meets the gloomy Tae Gong Shil, who started seeing ghosts after an accident. Their lives take a new turn as they work together to deal with the terror and sadness brought about by the spirits, while delving into a kidnapping incident in Joong Won's past. And unknowingly, they fell in love with each other.  English Arabic Русский Português (Brasil)","Hong Jeong Eun, Hong Mi Ran",Jin Hyeok,"Horror, Comedy, Romance, Supernatural",South Korea,17,Drama,SBS,1 hr. 2 min.,#646,#121,15+ - Teens 15 or older
