,drama name,aired,ratings,no of ratings,synopsis,screenwriter,director,genre,country,episodes,type,original network,duration,ranking,popularity,content rating
62,Happiness ,"Nov  5, 2021 - Dec 11, 2021",8.8,75216,"Yun Sae Bom is a special agent with quick wits and reflexes and another special quality. She earns the opportunity to move into a new apartment set aside for civil servants in a coveted apartment complex by pretending to marry high school friend Jung I Hyeon.

I Hyeon is a detective investigating the spread of a mysterious disease. They are trapped in their apartment building when Han Tae Seok, head of the task force to control the spread of the disease, orders the complex to be sealed off from the rest of the city.  

Quarantine and disease reveal a social caste system, bringing out the best and worst of the apartment residents.

(Source: MyDramaList)  English 한국어 中文(简体) ภาษาไทย",Han Sang Woon,Ahn Gil Ho,"Action, Thriller, Drama, Sci-Fi",South Korea,12,Drama,TVING tvN,1 hr. 5 min.,#143,#65,15+ - Teens 15 or older
63,"Nevertheless, ","Jun 19, 2021 - Aug 21, 2021",N/A,N/A,"Park Jae Eon finds dating a waste of time but likes to flirt. Even though he is friendly and cheerful towards all, he does not pursue others. Park Jae Eon is a master of “push-and-pull” who doesn’t get swept up in emotions. Jae Eon draws firm lines between himself and other people and doesn’t reveal how he feels. Yet when Park Jae Eon meets Yoo Na Bi, he wants to cross those lines. Yoo Na Bi wants to date but doesn’t trust love. After a bitter experience with her first love, she doesn't believe in destiny anymore. But when she meets Park Jae Eon, he has a magical effect on her that challenges Na Bi’s decision to stay aloof.

(Source: Soompi, edited by MyDramaList)

~~ Adapted from the webtoon ""Nevertheless"" (알고있지만) by Jung Seo (정서).  English 한국어 中文(台灣) 中文(简体)",Jung Won,"Kim Ga Ram, Jang Ji Yeon","Romance, Life, Youth, Drama",South Korea,10,Drama,jTBC,1 hr. 10 min.,#7606,#66,15+ - Teens 15 or older
64,Touch Your Heart ,"Feb  6, 2019 - Mar 28, 2019",8.2,64620,"Oh Yoon Seo is a popular actress. She is famous for her beautiful appearance, but her acting is bad. She gets involved in a scandal with the son from a chaebol family. Her acting career declines precipitously.
Oh Yoon Seo hears that a famous screenwriter wants her to play the lead female role for a drama series. The character works as a secretary for a lawyer. To gain experience for the role, Oh Yoon Seo is required to work as a lawyer's secretary for a few months. Meanwhile, Kwon Jung Rok is an attorney for a law firm. He is arrogant and cold-hearted. One day, his boss asks Kwon Jung Rok to let actress Oh Yoon Seo work as his secretary for 3 months. He is not happy about the situation, but he has to accept.

(Source: AsianWiki)

~~ Adapted from the web novel “Jinsimi Dadda” by Yegeo.  English Arabic Русский Türkçe","Choi Bo Rim, Lee Myung Sook",Park Joon Hwa,"Comedy, Law, Romance, Drama",South Korea,16,Drama,tvN,1 hr. 10 min.,#1473,#67,15+ - Teens 15 or older
65,"Kill Me, Heal Me ","Jan  7, 2015 - Mar 12, 2015",8.7,58655,"A traumatic childhood experience leaves Cha Do Hyeon suffering from memory loss and dissociation. The latter has resulted in the creation of seven distinct personalities. Wanting to regain control over his life, he asks O Ri Jin, a first-year psychiatric resident, to help him, but she eventually falls in love with one of his personalities. Ri Jin’s twin brother, O Ri On, a famous mystery novelist, investigates Do Hyeon and his family. (Source: MyDramaList)  English Arabic Русский Українська",Jin Soo Wan,"Kim Jin Man, Kim Dae Jin","Psychological, Comedy, Romance, Drama",South Korea,20,Drama,MBC,1 hr. 2 min.,#310,#68,15+ - Teens 15 or older
66,Tomorrow ,"Apr  1, 2022 - May 21, 2022",8.8,67689,"Choi Jun Ung seeks a job, but it's hard for him to get hired. One night, he witnesses a man trying to end his life and decides to stop him. He gets acquainted with grim reapers Koo Ryeon and Im Ryung Gu, who belong to a crisis management team. Their purpose is to prevent people from committing suicide. After Jun Ung ends up in a coma and becomes half-human and half-spirit, he is employed by a company of grim reapers as the newest member of the crisis management team.

(Source: Netflix, s a r a at MyDramaList)

~~ Adapted from the webtoon ""Tomorrow"" (내일) by Llama (라마).  English 中文(简体) 中文(台灣) ภาษาไทย","Park Ran, Park Ja Kyung, Kim Yu Jin","Kim Tae Yoon, Sung Chi Wook","Action, Thriller, Drama, Fantasy",South Korea,16,Drama,MBC,60 min.,#147,#69,15+ - Teens 15 or older
67,The Untamed ,"Jun 27, 2019 - Aug  7, 2019",9,64111,"Wei Wu Xian and Lan Wang Ji, two talented disciples of respected clans, meet during cultivation training and accidentally discover a secret carefully hidden for many years. Taking on the legacy of their ancestors, they decide to rid the world of the ominous threat. But in a dramatic turn of events, Wei Wu Xian dies.

Sixteen years later, Wei Wu Xian is brought back to life through a self-sacrificing ritual. He conceals himself behind a mask and assumes the identity of his summoner. Soon, Wei Wu Xian reunites with Lan Wang Ji and they start working together to solve the mysteries of the present and unravel the truth behind the events in the past.

(Source: MyDramaList)

~~ Adapted from the novel ""Grandmaster of Demonic Cultivation"" (魔道祖师) by Mo Xiang Tong Xiu (墨香铜臭).  English 한국어 中文(简体) ภาษาไทย","Deng Yao Yu, Yang Xia, Guo Guang Yun, Ma Jing","Steve Cheng, Chan Ka Lam","Mystery, Wuxia, Fantasy",China,50,Drama,Tencent Video,45 min.,#69,#70,15+ - Teens 15 or older
68,Hwarang ,"Dec 19, 2016 - Feb 21, 2017",8,59195,"The names of just a few Hwarangs are recorded in history. Not many people these days truly know about Hwarangs. How did they start? How did beautiful looking young men become at the center of unifying old Korea's Three Kingdoms? To these countless questions, we look forward to finding the answers. Let's imagine how life must have been for young people of Silla back in the 6th century. Let us tell you a story about their friendships and love.

(Source: KBS World)  English 中文(简体) Arabic Русский",Park Eun Young,"Yoon Sung Shik, Kim Young Jo","Action, Historical, Comedy, Romance",South Korea,20,Drama,KBS2,60 min.,#2293,#71,15+ - Teens 15 or older
69,Oh My Venus ,"Nov 16, 2015 - Jan  5, 2016",8.2,67393,"Kim Yeong Ho, a Hollywood personal trainer from a wealthy background, returns to Korea after a scandal. Despite a painful childhood injury, he maintains a healthy lifestyle. Kang Ju Eun, a once-renowned beauty turned out-of-shape lawyer, is dumped by her longtime boyfriend. When Yeong Ho becomes her trainer, they grow close, help each other heal, and fall in love.

(Source: MyDramaList)  English Arabic Русский Ελληνικά",Kim Eun Ji,"Kim Hyoung Seok, Lee Na Jung","Comedy, Law, Romance, Life",South Korea,16,Drama,KBS2,60 min.,#1430,#72,13+ - Teens 13 or older
70,The Glory Part 2 ,"Mar 10, 2023",8.9,80660,"Moon Dong Eun's silent fury against those students that horrifically abused her during her high school years continues to burn inside of her. She meticulously executes her plan to inflict ultimate pain on her tormentors. Meanwhile, the sudden disappearance of Son Myeong Oh has gotten the attention of the police and his friends. Joo Yeo Jeong follows Moon Dong Eun and is willing to do anything she asks in her pursuit of revenge. Before Moon Dong Eun begins her final moves, she offers her nemesis Park Yeon Jin a chance to save herself if she turns in to the police, but Park Yeon Jin has her own plans to stop Moon Dong Eun. A violent and bloody game of nerves plays out between these rivals.

(Source: AsianWiki)  English Русский ภาษาไทย Español",Kim Eun Sook,Ahn Gil Ho,"Thriller, Drama, Melodrama",South Korea,8,Drama,Netflix,55 min.,#78,#73,18+ Restricted (violence & profanity)
71,Abyss ,"May  6, 2019 - Jun 25, 2019",7.8,56095,"""Abyss"" is the tale of a man and a woman who tragically meet their demise but are granted a second chance at life through soul-reviving marbles found in a mystical abyss.

Go Se Yeon, a resilient and exceptionally beautiful female prosecutor at the Seoul District Public Office, succumbs to a fatal accident. However, her revival comes with a twist as the enigmatic Abyss marble transforms her appearance to a more ordinary one, reflecting the goodness of her spirit from her previous life.

On the other hand, Cha Min, the brilliant heir to a leading Korean cosmetics company, is a smart, humble, and kind-hearted man who struggles with self-esteem due to his perceived unattractiveness. After his own fatal accident, Cha Min returns to life with a newfound handsome appearance that matches the brightness of his previous spirit.

As they both embark on their second lives, Go Se Yeon and Cha Min join forces as a lawyer and an administrator at a private law firm. Together, they delve into the mysteries of the magical Abyss and, amidst their investigations, find love blossoming in their shared journey of self-acceptance.

(Source: MyDramaList)  English 中文(台灣) ภาษาไทย Arabic",Moon Su Yeon,Yoo Je Won,"Mystery, Comedy, Romance, Fantasy",South Korea,16,Drama,tvN,60 min.,#3626,#74,15+ - Teens 15 or older
